               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09366,             0.05819,            0.029681,              0.4101,            0.091453,            0.041337,           0.0081848,            0.070114,            0.055592,            0.021098,           0.0033284,           0.0033284,            0.070044
                   1,            0.074829,            0.048977,            0.019315,             0.74112,             0.07094,            0.053783,            0.018307,            0.086904,            0.031923,              0.0175,           0.0066565,           0.0066565,            0.040039
