               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022977,            0.027873,           0.0035881,             0.82055,             0.70644,             0.74135,             0.45912,            0.022469,            0.030342,           0.0041254,           0.0038567,           0.0038567,           0.0038567
                  36,            0.022061,            0.026323,           0.0036605,             0.75289,              0.7557,             0.75454,             0.46265,            0.022523,            0.029788,           0.0036803,           0.0036489,           0.0036489,           0.0036489
                  37,            0.022271,            0.026374,           0.0039171,             0.81223,             0.76705,             0.77404,             0.47567,            0.022249,             0.02995,           0.0031588,           0.0034503,           0.0034503,           0.0034503
                  38,            0.022387,            0.027823,           0.0031111,             0.86965,              0.7678,             0.78512,             0.48901,            0.022226,            0.029337,           0.0031106,           0.0032618,           0.0032618,           0.0032618
                  39,            0.021743,            0.026815,           0.0031924,             0.87132,             0.76277,             0.78987,             0.48991,              0.0223,            0.029439,           0.0030268,           0.0030841,           0.0030841,           0.0030841
                  40,            0.022015,            0.026515,           0.0038804,             0.79705,             0.75165,             0.76863,             0.47653,            0.021983,            0.029363,           0.0032543,           0.0029179,           0.0029179,           0.0029179
                  41,             0.02142,            0.027273,           0.0030441,              0.7907,             0.75383,             0.77146,             0.48745,            0.021885,            0.029581,           0.0029803,           0.0027639,           0.0027639,           0.0027639
                  42,            0.021828,            0.026204,           0.0033564,             0.77028,             0.73854,             0.75578,             0.46686,            0.022452,            0.029449,           0.0033222,           0.0026227,           0.0026227,           0.0026227
                  43,            0.020962,            0.026068,           0.0029296,             0.93065,             0.64971,             0.75908,             0.47073,            0.021903,            0.029468,           0.0035162,           0.0024948,           0.0024948,           0.0024948
                  44,            0.021415,            0.026086,           0.0035909,             0.83197,                0.75,             0.77278,             0.48305,            0.022311,              0.0295,           0.0030844,           0.0023807,           0.0023807,           0.0023807
                  45,             0.02109,            0.025501,           0.0035201,             0.82714,             0.75085,               0.769,             0.47539,            0.022165,            0.029478,           0.0031258,           0.0022809,           0.0022809,           0.0022809
                  46,            0.021576,            0.026237,           0.0034631,             0.79261,             0.75446,             0.78225,             0.48903,            0.022079,            0.029583,           0.0028781,           0.0021958,           0.0021958,           0.0021958
                  47,             0.02142,            0.026619,           0.0032829,             0.85976,             0.74697,              0.7762,             0.47763,            0.022802,            0.029547,           0.0027808,           0.0021257,           0.0021257,           0.0021257
                  48,            0.020225,            0.024893,           0.0033101,              0.9069,             0.74285,             0.79119,             0.50003,            0.021836,            0.029429,           0.0026667,           0.0020709,           0.0020709,           0.0020709
                  49,            0.020713,            0.025376,           0.0028245,             0.92221,             0.74028,             0.79703,             0.49722,            0.022059,            0.029495,           0.0025764,           0.0020315,           0.0020315,           0.0020315
